,activity,camera-pose-index,camera-pose,length,fps,start-frame,camv-filename,skel-filename
0,11,0,"[1.714840471737396, -2.9956983890927833, 1.274743382986821, 0.523919337974786, 0.8517678834612527, -0.002876023622959376, 0.9999958642355078]",179,1,0,camv.avi,skel.avi
1,11,1,"[2.6585139399069453, 0.565084582218444, 1.2834707600085606, 0.9691995537084259, -0.24627672462372086, -0.002876023622959376, 0.9999958642355078]",179,1,179,camv.avi,skel.avi
2,11,2,"[3.1180363614067175, 1.3882392299333246, 1.3386798096075712, 0.9068659072789894, -0.4214192997657505, -0.002876023622959376, 0.9999958642355078]",179,1,358,camv.avi,skel.avi
3,11,3,"[2.7619259248450465, 2.0066566436004645, 1.2837416279467377, 0.829597741383566, -0.5583615204249716, -0.002876023622959376, 0.9999958642355078]",179,1,537,camv.avi,skel.avi
4,11,4,"[2.2897053940729064, 2.5429754659292785, 1.2848858753155121, 0.6675653300057958, -0.7445512273673672, -0.002876023622959376, 0.9999958642355078]",179,1,716,camv.avi,skel.avi
5,11,5,"[1.3807200844883643, 2.3914773373646394, 1.2679471748616198, 0.5071880634949723, -0.861835406703751, -0.002876023622959376, 0.9999958642355078]",179,1,895,camv.avi,skel.avi
6,11,6,"[1.044175003787651, 3.2136402190871602, 1.386539596934542, 0.3161965346115899, -0.9486937079477347, -0.002876023622959376, 0.9999958642355078]",179,1,1074,camv.avi,skel.avi
7,11,7,"[0.2868593984412333, 2.729284863888944, 1.278155192659307, 0.1110058262851039, -0.9938197555546787, -0.002876023622959376, 0.9999958642355078]",179,1,1253,camv.avi,skel.avi
8,11,8,"[-0.25142504517734066, 2.3921495127365957, 1.258451200362567, -0.15489373558526842, -0.987931136606414, -0.002876023622959376, 0.9999958642355078]",179,1,1432,camv.avi,skel.avi
9,11,9,"[-0.9534868720717278, 2.9345308490878845, 1.2965750998251495, -0.30914766705477636, -0.9510140482425006, -0.002876023622959376, 0.9999958642355078]",179,1,1611,camv.avi,skel.avi
10,11,10,"[-1.2921195585127334, 2.2380167247975224, 1.2608727468674636, -0.47829364885464654, -0.8781999689508695, -0.002876023622959376, 0.9999958642355078]",179,1,1790,camv.avi,skel.avi
11,11,11,"[-2.1807543711730584, 2.4219730963932653, 1.232399027802888, -0.6644446172601236, -0.7473375078196248, -0.002876023622959376, 0.9999958642355078]",179,1,1969,camv.avi,skel.avi
12,11,12,"[-1.967008507090652, 1.4291153333496935, 1.3627773185647, -0.8052920683303447, -0.5928783051219157, -0.002876023622959376, 0.9999958642355078]",179,1,2148,camv.avi,skel.avi
13,11,13,"[-2.4806526085708662, 1.1044576996211983, 1.2380504047587486, -0.8982106540202941, -0.43956526364629345, -0.002876023622959376, 0.9999958642355078]",179,1,2327,camv.avi,skel.avi
14,11,14,"[-2.945588788049345, 0.6261042248815363, 1.367195095126367, -0.9861079424537893, -0.16610576699667629, -0.002876023622959376, 0.9999958642355078]",179,1,2506,camv.avi,skel.avi
15,11,15,"[-3.3211771734048963, 4.0672689948115605e-16, 1.3438677483497061, -0.9999475322090055, -0.010243672638272621, -0.002876023622959376, 0.9999958642355078]",179,1,2685,camv.avi,skel.avi
16,11,16,"[-2.8925507005851863, -0.6148306313726014, 1.2327273129671503, -0.9671322161103376, 0.254274018652137, -0.002876023622959376, 0.9999958642355078]",179,1,2864,camv.avi,skel.avi
17,11,17,"[-2.795639030945439, -1.2446986903450679, 1.218619976064578, -0.9122376323291654, 0.4096614482258228, -0.002876023622959376, 0.9999958642355078]",179,1,3043,camv.avi,skel.avi
18,11,18,"[-2.6658385911103877, -1.9368451092395897, 1.3450545689418512, -0.8046194091972872, 0.5937908776185504, -0.002876023622959376, 0.9999958642355078]",179,1,3222,camv.avi,skel.avi
19,11,19,"[-2.1783453919547977, -2.4192976539255024, 1.23898859283042, -0.7004894818286551, 0.7136627255555822, -0.002876023622959376, 0.9999958642355078]",179,1,3401,camv.avi,skel.avi
20,11,20,"[-1.6395613430727816, -2.8398035483279207, 1.2250076793077471, -0.47340606438818716, 0.8808443098530453, -0.002876023622959376, 0.9999958642355078]",179,1,3580,camv.avi,skel.avi
21,11,21,"[-1.0776293566521824, -3.31660213014518, 1.2216602095324283, -0.3284147427086815, 0.9445336186561019, -0.002876023622959376, 0.9999958642355078]",179,1,3759,camv.avi,skel.avi
22,11,22,"[-0.3143733893820915, -2.9910630012904504, 1.2806492658800352, -0.08376247570651542, 0.9964857488511892, -0.002876023622959376, 0.9999958642355078]",179,1,3938,camv.avi,skel.avi
23,11,23,"[0.3569888208349685, -3.3965217475070753, 1.387098006061202, 0.14187191922060272, 0.9898850228873365, -0.002876023622959376, 0.9999958642355078]",179,1,4117,camv.avi,skel.avi
24,11,24,"[0.7660583206441329, -2.357685081962571, 1.3195622039405108, 0.32620232975062735, 0.9452999735878886, -0.002876023622959376, 0.9999958642355078]",179,1,4296,camv.avi,skel.avi
25,11,25,"[1.4250423433261301, -2.4682457415778685, 1.345004474875789, 0.46342992120914794, 0.8861335723964435, -0.002876023622959376, 0.9999958642355078]",179,1,4475,camv.avi,skel.avi
26,11,26,"[1.7696358654281414, -1.9653797388350855, 1.2685639503820652, 0.6564840595964193, 0.75433989652928, -0.002876023622959376, 0.9999958642355078]",179,1,4654,camv.avi,skel.avi
27,11,27,"[2.4907637001819687, -1.8096457553941951, 1.2450344593026106, 0.829801535065331, 0.5580586101864392, -0.002876023622959376, 0.9999958642355078]",179,1,4833,camv.avi,skel.avi
28,11,28,"[2.506965139383732, -1.11617279312215, 1.3295358554786096, 0.9335642391707585, 0.3584101161260978, -0.002876023622959376, 0.9999958642355078]",179,1,5012,camv.avi,skel.avi
29,11,29,"[2.39338703699816, -0.5087301193299323, 1.3870482636360932, 0.9722134479337511, 0.2340961589961856, -0.002876023622959376, 0.9999958642355078]",179,1,5191,camv.avi,skel.avi
